CategoryNameDropstab,CategoryNameCoingecko
"RWA (Real World Assets)","Real World Assets (RWA)"
"Liquid Staking","Liquid Restaking Tokens"
"Liquid Staking","Liquid Staking Tokens"
"Liquid Staking","Liquid Staking Governance Tokens"
"Liquid Staking","Liquid Restaking Governance Tokens"
"Layer 1","Layer 1 (L1)"
"Layer-2","Layer 2 (L2)"
"Proof of Stake","Proof of Stake (PoS)"
"Proof of Work","Proof of Work (PoW)"
"SEC security token","Alleged SEC Securities"
"Gaming","Adventure Games"
"Artificial Intelligence(AI)","AI Agents"
"Artificial Intelligence (AI)","AI-Themed Coins"
"Arbitrum Ecosystem","Arbitrum Nova Ecosystem"
"AMM","Automated Market Maker (AMM)"
"Gaming","Axie Infinity"
"Gaming","Card Games"
"Gaming","Fighting Games"
"Gaming","Racing Games"
"Gaming","Shooting Games"
"Gaming","Simulation Games"
"Gaming","Sports Games"
"Gaming","Strategy Games"
"Gaming","On-Chain Gaming"
"Gaming","Gaming Blockchains"
"Gaming","Gaming Governance Token"
"Gaming","Gaming Platform"
"Gaming","Gaming Utility Token"

